Title,Author,ISBN
The Great Gatsby,F. Scott Fitzgerald,9780141182636
To Kill a Mockingbird,Harper Lee,0061120081
1984,George Orwell,9780451524935
Pride and Prejudice,Jane Austen,9780141439518
The Hobbit,J.R.R. Tolkien,9780261102217
The Catcher in the Rye,J.D. Salinger,9780241950425
Harry Potter and the Philosopher's Stone,J.K. Rowling,9780747532743
To the Lighthouse,Virginia Woolf,9780156907392
The Da Vinci Code,Dan Brown,9780307474278
Brave New World,Aldous Huxley,9780060850524
The Lord of the Rings,J.R.R. Tolkien,9780545010221
The Shining,Stephen King,9780307743657
The Alchemist,Paulo Coelho,9780061122415
Frankenstein,Mary Shelley,9780486282114
The Road,Cormac McCarthy,9780307387899
The Hunger Games,Suzanne Collins,9780439023481
Great Expectations,Charles Dickens,9780141439563
The Chronicles of Narnia,C.S. Lewis,9780066238500
Animal Farm,George Orwell,9780451526342
The Girl with the Dragon Tattoo,Stieg Larsson,9780307949486
The Hitchhiker's Guide to the Galaxy,Douglas Adams,9780345391803
The Handmaid's Tale,Margaret Atwood,9780385490818
One Hundred Years of Solitude,Gabriel Garcia Marquez,9780061120091
The War of the Worlds,H.G. Wells,9780141441030
The Grapes of Wrath,John Steinbeck,9780143039433